Image,MSE_Gaussian,PSNR_Gaussian,MSE_Median,PSNR_Median
7.pgm,74.0961,29.432850110944297,111.4364,27.66053287292175
8.pgm,74.4911,29.40975973378449,106.3415,27.86377578905846
9.pgm,74.4332,29.413136704738076,99.5262,28.15142938236628
10.pgm,88.4557,28.663545372028764,133.2027,26.885673328563243
1.pgm,108.5394,27.774929443744934,166.031,25.92891177213421
2.pgm,101.6997,28.057606890517217,153.6089,26.266639817029343
3.pgm,106.267,27.86681940586833,156.9871,26.17216393993654
4.pgm,86.7286,28.74918024937431,125.3108,27.150918582833622
5.pgm,127.5351,27.074506338356276,200.1705,25.11680286881588
6.pgm,91.3235,28.524978132669872,138.2885,26.722942949610683
7.pgm,120.5589,27.31881084120306,168.5454,25.86363456766056
8.pgm,115.493,27.505246983150727,176.8657,25.65436743588905
9.pgm,114.6502,27.537055442021217,179.2248,25.59682256446159
10.pgm,97.6109,28.235820437592544,148.4868,26.41392512884459
1.pgm,73.7032,29.455940166700234,98.8932,28.179139307874877
2.pgm,76.1263,29.315456387671325,98.1774,28.210688342306078
3.pgm,73.9584,29.440928537118637,98.3153,28.204592521047893
4.pgm,84.325,28.87124011006671,117.1078,27.444945385184873
5.pgm,85.039,28.834622163262754,118.1304,27.40718686342341
6.pgm,81.9638,28.99458275941405,109.1189,27.751803815461408
7.pgm,80.0433,29.097553755783157,103.3485,27.987761832084285
8.pgm,89.9878,28.58896726448863,118.596,27.39010319455375
9.pgm,85.5242,28.809913404160774,118.1183,27.407631730483892
10.pgm,81.6821,29.00953466183178,111.109,27.67331121980782
1.pgm,99.6355,28.146662563079484,139.726,26.67803134382238
2.pgm,99.3775,28.157922936934675,139.9999,26.669526354001274
3.pgm,98.8346,28.18171351922853,141.3735,26.62712350857856
4.pgm,99.4013,28.15688296600028,148.3569,26.41772610941452
5.pgm,109.297,27.74472119332905,160.7079,26.07043134745028
6.pgm,94.4801,28.377400165945307,133.2266,26.884894162146832
7.pgm,108.984,27.75717617255338,170.5777,25.81158106603665
8.pgm,107.1021,27.83282374541463,152.329,26.30297769803429
9.pgm,93.3039,28.431805637121876,125.739,27.13610358776192
10.pgm,112.6236,27.61450955469503,162.4765,26.022898057583244
1.pgm,75.2456,29.365992513075344,102.5063,28.023298030746172
2.pgm,71.6432,29.579053851523256,93.5078,28.422325215925042
3.pgm,62.9395,30.141570723717933,80.0444,29.097494073005517
4.pgm,62.4601,30.17477685658114,77.1417,29.257911555252857
5.pgm,60.475,30.31504483833993,75.3771,29.35840936141494
6.pgm,65.3451,29.978673339512948,81.6385,29.01185344340138
7.pgm,57.6195,30.525108755487,71.8023,29.569420049082005
8.pgm,67.4917,29.838299934566905,86.1725,28.777116681723648
9.pgm,72.0274,29.555826226986433,98.6236,28.19099509584174
10.pgm,70.833,29.628447249447895,94.5761,28.372989596617657
1.pgm,85.9476,28.78846606910681,107.4059,27.820522222691313
2.pgm,88.4301,28.664802447363734,106.9343,27.839633300143966
